session_id,customer_id,session_date,traffic_source,pages_viewed,session_duration_sec,converted
123,3071,2024-05-29,Paid,2,205,0
124,10874,2024-03-17,Email,6,104,0
125,9137,2023-04-17,Organic,8,203,0
126,9859,2023-02-01,Email,6,342,0
127,6543,2024-10-04,Social,3,61,0
128,10788,2023-03-19,Organic,8,31,0
129,2033,2023-10-19,Email,4,173,0
130,4656,2024-04-04,Paid,2,89,0
131,9484,2023-12-18,Paid,6,81,0
132,4313,2023-07-28,Social,3,105,0
133,4975,2023-06-14,Paid,7,471,0
134,10737,2024-10-02,Email,3,129,0
135,4114,2024-08-06,Organic,1,31,0
136,4055,2024-10-13,Organic,6,3,0
137,8304,2024-06-11,Social,4,37,0
138,9318,2023-09-01,Social,4,38,0
139,8297,2023-06-13,Social,6,263,0
140,146,2023-08-07,Paid,4,142,0
141,3289,2023-12-27,Paid,4,250,0
142,1206,2023-07-18,Paid,6,51,0
143,8890,2024-03-09,Email,3,58,0
144,5851,2024-10-01,Organic,3,32,0
145,6753,2023-12-02,Organic,5,137,0
146,9540,2024-02-09,Paid,5,115,0
147,1113,2023-01-13,Organic,2,45,0
148,2031,2023-09-02,Paid,4,645,1
149,10711,2024-02-10,Email,4,135,0
150,11838,2023-09-19,Paid,4,455,0
151,5878,2023-01-17,Paid,5,156,0
152,10598,2024-02-16,Paid,4,16,0
153,5460,2024-01-26,Social,7,158,0
154,3498,2024-07-15,Paid,2,180,1
155,10579,2024-10-03,Organic,10,174,0
156,324,2024-09-18,Email,8,86,0
157,6949,2024-04-23,Organic,1,32,0
158,5440,2024-02-20,Paid,7,90,0
159,1332,2024-02-28,Social,10,562,0
160,3047,2023-07-01,Social,5,474,0
161,2670,2023-09-29,Paid,1,383,0
162,2013,2023-07-14,Organic,3,954,1
163,651,2023-03-18,Social,3,72,0
164,10954,2024-03-13,Social,3,54,0
165,6426,2024-05-08,Organic,6,117,0
166,3825,2024-07-08,Organic,5,9,0
167,7388,2023-09-07,Social,7,36,0
168,11336,2023-07-11,Organic,4,13,0
169,88,2024-04-09,Organic,3,47,0
170,10857,2023-12-31,Social,4,362,0
171,5964,2023-12-06,Organic,5,227,0
172,6422,2024-10-23,Paid,5,46,0
173,7217,2023-09-18,Organic,1,332,0
174,7298,2024-01-19,Organic,5,529,0
175,10883,2023-10-14,Paid,4,137,0
176,1821,2023-03-12,Email,3,441,0
177,11738,2023-08-24,Social,8,221,0
178,11836,2023-07-18,Social,5,422,0
179,10002,2024-03-09,Paid,6,206,0
180,5845,2023-11-22,Social,4,554,0
181,6581,2023-06-14,Social,4,22,0
182,9805,2023-12-13,Email,5,173,0
183,7903,2024-01-16,Paid,4,514,0
184,3129,2023-10-30,Paid,3,131,0
185,9674,2023-01-04,Email,5,531,0
186,8033,2023-02-05,Social,4,203,1
187,8297,2023-08-10,Paid,4,194,0
188,5647,2024-11-04,Paid,6,149,0
189,9623,2023-10-19,Email,7,591,0
190,590,2023-07-12,Social,7,183,0
191,7105,2024-07-18,Paid,7,1326,0
192,5587,2023-11-09,Organic,7,146,0
193,1884,2024-08-28,Email,4,178,0
194,4000,2024-06-23,Organic,8,74,0
195,5396,2024-03-19,Paid,1,630,0
196,7689,2023-08-10,Social,4,688,0
197,10863,2024-11-08,Social,8,724,1
198,611,2023-08-12,Paid,4,263,0
199,8573,2024-08-20,Social,6,296,0
200,11461,2024-05-06,Organic,6,135,0
201,3867,2024-01-21,Social,3,379,0
202,5784,2024-10-11,Social,2,4,0
203,4756,2023-03-26,Social,8,102,0
204,7001,2024-10-19,Email,3,344,0
205,120,2024-11-30,Email,9,764,0
206,10425,2023-11-23,Social,2,497,0
207,3511,2023-12-04,Paid,2,423,1
208,4217,2023-07-18,Organic,5,53,0
209,6878,2023-06-26,Email,4,388,0
210,7536,2024-05-12,Paid,7,257,0
211,3902,2024-01-27,Paid,7,254,0
212,7596,2024-06-01,Paid,5,145,0
213,6578,2024-05-22,Social,8,796,0
214,6149,2024-11-04,Social,5,1,1
215,6064,2024-06-14,Email,3,267,0
216,5606,2023-07-24,Organic,8,7,0
217,11454,2024-04-27,Email,5,176,0
218,6803,2023-04-08,Paid,5,28,0
219,8523,2024-08-25,Organic,7,27,0
220,10759,2023-11-29,Organic,12,967,0
221,724,2023-09-06,Paid,5,399,0
222,11675,2023-06-07,Paid,3,424,0
223,7337,2023-11-03,Social,8,204,0
224,6281,2024-02-17,Email,7,271,0
225,11203,2023-08-20,Organic,5,3,0
226,3733,2023-02-08,Organic,5,109,0
227,8738,2023-07-02,Organic,0,2,0
228,1458,2023-10-08,Social,3,445,0
229,4396,2024-05-30,Social,5,537,0
230,2254,2024-06-22,Social,6,704,0
231,5270,2023-09-20,Organic,9,0,0
232,652,2024-05-22,Paid,6,14,0
233,7106,2024-10-20,Social,6,271,0
234,11283,2023-02-03,Paid,7,346,0
235,11378,2024-07-24,Social,6,272,0
236,2566,2023-02-27,Paid,4,109,0
237,7061,2023-01-19,Organic,3,164,0
238,9524,2024-01-20,Paid,7,303,0
239,4298,2023-11-07,Organic,4,157,0
240,5873,2023-04-15,Social,4,283,0
241,3831,2024-09-03,Email,3,550,0
242,11932,2024-11-18,Email,4,44,0
243,10446,2024-10-19,Email,5,38,0
244,2230,2023-12-12,Email,7,154,0
245,8636,2024-11-05,Paid,4,310,0
246,6185,2023-02-27,Email,3,72,0
247,9021,2023-06-08,Paid,4,271,0
248,228,2023-07-22,Organic,4,262,0
249,6861,2024-03-09,Social,6,14,0
250,5904,2024-11-30,Social,4,520,0
251,7009,2024-02-20,Social,7,47,0
252,8756,2024-04-02,Social,6,124,0
253,9163,2024-03-15,Paid,5,1016,0
254,8345,2023-10-17,Social,6,503,0
255,6577,2024-01-11,Social,4,323,0
256,6307,2024-05-21,Paid,7,702,0
257,9992,2023-06-09,Paid,2,411,0
258,8307,2023-12-26,Organic,6,414,0
259,9660,2023-10-10,Paid,3,50,0
260,1626,2023-06-27,Paid,3,393,0
261,3300,2023-04-26,Social,1,644,0
262,10808,2023-01-11,Organic,4,1222,1
263,7025,2023-10-18,Social,6,170,0
264,11125,2024-08-07,Email,4,430,1
265,7166,2023-06-14,Organic,8,527,0
266,6493,2024-03-09,Email,2,53,0
267,4963,2024-03-01,Organic,4,262,0
268,7914,2023-11-11,Social,5,6,0
269,7079,2024-04-03,Social,5,165,1
270,8856,2024-01-09,Email,6,285,1
271,1719,2023-05-31,Organic,2,6,0
272,7069,2023-01-02,Paid,3,27,0
273,4625,2024-06-03,Email,4,286,0
274,1173,2024-06-27,Social,7,357,0
275,502,2024-03-04,Social,5,148,0
276,3113,2023-07-31,Organic,7,148,0
277,1622,2023-05-27,Paid,5,238,0
278,7874,2023-01-04,Paid,5,18,0
279,4192,2024-10-30,Email,5,323,1
280,8947,2023-02-26,Social,5,471,0
281,3784,2024-11-06,Paid,4,238,0
282,11452,2023-08-25,Paid,5,531,0
283,8011,2024-03-28,Paid,2,577,0
284,7860,2023-09-03,Email,7,1023,0
285,5320,2024-11-18,Paid,10,222,0
286,989,2023-12-03,Email,12,210,0
287,3811,2024-10-01,Paid,4,220,0
288,9679,2023-11-23,Organic,6,32,0
289,3157,2024-07-12,Email,2,36,0
290,7805,2023-04-08,Email,3,93,0
291,5204,2023-04-25,Social,7,519,0
292,2590,2023-01-29,Email,6,184,0
293,10556,2024-01-03,Paid,1,95,0
294,6215,2023-11-26,Organic,7,270,0
295,3186,2023-11-02,Organic,5,128,0
296,509,2023-07-18,Organic,2,167,0
297,4628,2023-10-29,Paid,8,68,0
298,8465,2023-08-07,Paid,7,91,0
299,10539,2024-08-20,Social,5,119,0
300,1602,2023-11-18,Organic,7,44,0
301,677,2023-07-31,Email,1,221,0
302,7085,2023-05-14,Social,7,4,0
303,713,2023-12-05,Email,4,276,0
304,9346,2023-09-21,Email,4,64,0
305,8084,2023-11-03,Organic,6,59,0
306,7824,2024-10-06,Organic,2,1026,0
307,10148,2024-10-12,Social,1,704,0
308,8759,2023-09-30,Organic,5,109,0
309,7330,2023-06-02,Social,4,160,0
310,3658,2023-08-01,Email,3,18,0
311,5525,2023-02-04,Email,3,43,0
312,5475,2023-01-18,Organic,6,175,0
313,5312,2023-10-08,Email,5,55,0
314,6060,2023-04-28,Email,5,46,0
315,11239,2023-09-03,Email,3,75,0
316,7938,2023-03-03,Organic,6,1007,1
317,4261,2023-02-06,Organic,5,39,0
318,3062,2023-11-18,Social,4,566,0
319,8474,2024-03-11,Social,5,153,0
320,4881,2023-05-21,Paid,3,19,0
321,5916,2024-09-17,Email,7,66,0
322,2382,2024-02-25,Paid,8,442,0
323,6769,2023-12-02,Organic,3,499,0
324,11294,2023-03-21,Paid,4,313,0
325,4867,2024-07-06,Social,5,735,0
326,5977,2024-04-21,Email,6,193,0
327,6145,2023-03-14,Organic,7,332,0
328,2371,2023-07-12,Paid,3,213,0
329,299,2024-07-23,Paid,3,558,1
330,6099,2023-08-04,Organic,5,68,0
331,9035,2023-04-18,Social,1,297,0
332,5920,2023-02-05,Social,5,92,1
333,9021,2023-08-06,Paid,4,423,0
334,10051,2023-01-21,Email,7,38,0
335,4052,2024-10-01,Organic,2,422,0
336,11694,2023-08-11,Email,3,171,0
337,2796,2024-08-31,Social,5,391,0
338,7775,2023-03-28,Social,6,238,0
339,10187,2024-07-11,Organic,12,210,0
340,4985,2024-07-10,Social,1,166,0
341,9862,2023-09-03,Email,6,147,0
342,8289,2024-03-08,Email,2,23,0
343,3837,2023-06-15,Paid,3,451,0
344,8280,2023-12-04,Email,9,64,0
345,6355,2023-03-23,Email,5,107,0
346,10898,2023-11-15,Email,5,495,0
347,8942,2023-10-13,Paid,2,61,0
348,5143,2024-10-14,Social,6,155,0
349,5595,2023-05-10,Organic,5,338,0
350,10896,2024-08-26,Email,12,218,0
351,6143,2024-07-12,Social,4,274,0
352,2572,2023-04-04,Paid,6,653,0
353,7396,2023-01-28,Paid,3,48,0
354,6011,2023-04-05,Social,2,123,0
355,5796,2023-02-03,Paid,5,38,0
356,1367,2023-12-14,Paid,8,92,0
357,7165,2024-02-08,Organic,9,393,0
358,11842,2023-12-30,Paid,3,812,0
359,9710,2024-05-04,Email,5,144,1
360,8423,2023-01-21,Paid,3,300,0
361,7371,2024-08-21,Paid,10,243,0
362,5578,2023-05-04,Paid,8,1405,0
363,3528,2023-10-05,Organic,5,144,0
364,6694,2023-02-05,Paid,5,491,0
365,6120,2023-05-23,Email,8,265,0
366,5728,2024-04-03,Email,0,295,0
367,3104,2023-06-19,Organic,6,1033,0
368,351,2024-09-18,Paid,6,658,0
369,8670,2024-04-07,Paid,3,98,0
370,3982,2024-07-29,Paid,6,396,0
371,10607,2023-09-26,Organic,8,10,0
372,691,2023-04-06,Email,6,13,0
373,6366,2024-11-19,Social,2,342,0
374,1439,2024-01-30,Organic,4,154,1
375,1568,2024-01-10,Email,5,569,0
376,3015,2023-08-16,Email,6,251,0
377,1302,2023-07-21,Paid,5,89,0
378,11715,2024-03-25,Organic,2,176,1
379,11397,2024-01-27,Paid,5,27,0
380,10794,2023-01-05,Organic,5,238,0
381,1103,2023-03-12,Social,11,892,0
382,1385,2024-08-24,Social,4,81,0
383,11756,2023-08-28,Organic,1,78,0
384,10557,2024-07-12,Paid,2,160,0
385,11169,2023-01-31,Social,4,332,0
386,10459,2024-06-18,Social,8,80,0
387,5917,2023-01-10,Paid,5,281,0
388,2334,2024-04-14,Paid,2,132,0
389,10743,2023-12-11,Paid,7,336,0
390,11249,2023-03-13,Paid,4,52,1
391,3343,2023-01-06,Social,7,1,0
392,3987,2023-09-18,Email,9,241,0
393,1184,2023-09-03,Organic,3,383,0
394,10508,2023-08-17,Organic,5,104,0
395,5992,2024-07-10,Organic,3,157,0
396,2918,2023-10-10,Organic,1,449,0
397,4438,2023-06-01,Social,7,550,0
398,7321,2024-09-28,Paid,6,31,0
399,7280,2023-01-31,Organic,6,48,0
400,4432,2023-07-19,Organic,5,120,0
401,492,2024-02-08,Paid,5,558,0
402,8692,2024-08-10,Email,2,366,0
403,4609,2024-08-14,Email,5,378,0
404,5985,2023-02-12,Paid,4,291,0
405,10831,2024-09-08,Paid,9,219,0
406,6778,2024-07-17,Social,4,152,0
407,9593,2023-12-13,Organic,6,68,1
408,2626,2023-11-14,Paid,12,61,0
409,1537,2024-03-05,Email,2,227,0
410,10980,2023-05-04,Organic,5,75,0
411,3751,2023-08-27,Paid,8,445,0
412,2128,2024-11-20,Social,7,194,0
413,2481,2024-01-30,Social,6,362,0
414,6224,2023-05-09,Social,7,43,0
415,2050,2023-08-04,Organic,5,375,0
416,2747,2024-11-19,Organic,3,465,0
417,5007,2023-07-03,Social,9,101,0
418,1144,2023-02-22,Paid,8,27,0
419,2081,2023-12-09,Email,4,654,0
420,552,2023-07-18,Paid,3,354,0
421,7049,2024-08-14,Paid,4,98,0
422,6162,2023-03-14,Paid,3,23,0
423,2907,2023-10-19,Organic,3,219,0
424,7775,2023-11-27,Paid,4,455,0
425,11167,2024-04-22,Organic,3,60,0
426,10677,2023-12-21,Email,8,13,0
427,2252,2024-06-08,Paid,4,112,0
428,11051,2023-06-02,Paid,6,294,0
429,2149,2023-11-04,Social,1,246,0
430,8654,2023-01-13,Organic,8,541,0
431,777,2024-01-09,Social,2,360,0
432,6537,2024-09-06,Paid,8,668,0
433,10734,2024-11-25,Organic,3,26,0
434,184,2024-11-25,Social,6,173,0
435,1681,2024-09-04,Paid,4,995,0
436,3375,2024-06-01,Paid,5,264,0
437,11514,2023-04-05,Paid,5,247,0
438,4446,2023-11-08,Paid,5,102,0
439,11716,2024-01-13,Paid,6,477,0
440,9820,2023-06-07,Email,9,697,0
441,9350,2024-08-06,Paid,8,22,0
442,4706,2023-09-06,Organic,5,372,0
443,10552,2024-06-28,Email,4,477,0
444,3239,2023-08-17,Social,6,136,0
445,1124,2024-09-04,Organic,8,25,0
446,4012,2024-07-13,Social,8,253,0
447,7696,2024-04-15,Social,9,388,0
448,4060,2023-07-28,Organic,3,231,0
449,4820,2023-06-11,Email,6,373,0
450,1204,2024-02-25,Social,4,30,0
451,703,2023-03-01,Organic,10,17,0
452,7037,2023-01-10,Email,9,703,0
453,1044,2023-07-04,Organic,9,124,0
454,6012,2023-07-09,Organic,7,16,0
455,2766,2023-06-29,Paid,11,40,0
456,7341,2024-11-28,Social,5,351,0
457,4628,2024-04-17,Social,2,22,0
458,9402,2024-09-21,Organic,8,13,0
459,4612,2023-03-15,Email,2,227,0
460,5906,2024-11-09,Paid,5,590,0
461,4653,2024-03-25,Paid,5,850,0
462,1574,2023-12-16,Paid,7,96,0
463,7660,2023-05-17,Social,1,768,0
464,11456,2023-11-11,Social,10,803,1
465,1851,2024-04-21,Paid,2,733,0
466,1996,2023-08-09,Organic,5,266,0
467,844,2024-08-16,Paid,4,36,0
468,8085,2023-04-16,Paid,6,289,0
469,733,2024-09-06,Social,5,8,0
470,2598,2024-10-25,Social,10,249,0
471,11194,2024-09-06,Email,9,735,0
472,11513,2024-05-08,Organic,7,116,0
473,3908,2023-12-29,Paid,6,132,0
474,6265,2024-02-17,Social,4,984,0
475,4444,2023-03-04,Email,6,31,0
476,2337,2024-10-08,Social,5,52,0
477,7502,2024-08-02,Paid,7,593,0
478,4053,2023-06-12,Paid,4,32,0
479,11866,2024-09-09,Email,8,5,0
480,9785,2024-03-14,Paid,5,247,0
481,6067,2023-06-07,Email,2,670,0
482,3252,2023-07-11,Paid,8,125,0
483,7833,2024-03-24,Social,4,19,0
484,5566,2024-10-27,Organic,2,136,0
485,6454,2024-03-11,Organic,4,131,0
486,7464,2023-11-22,Organic,7,348,0
487,9033,2023-10-10,Email,5,348,0
488,2225,2023-06-26,Paid,3,265,0
489,11011,2023-10-31,Social,2,25,0
490,2511,2024-05-22,Organic,3,20,0
491,4126,2024-10-01,Paid,6,135,0
492,1812,2023-03-15,Social,6,111,0
493,11708,2024-09-24,Organic,4,41,0
494,10027,2024-04-29,Social,4,15,0
495,3516,2023-03-31,Email,3,312,0
496,3581,2023-12-23,Organic,3,245,0
497,3268,2024-11-09,Social,7,55,0
498,11867,2024-06-06,Paid,5,33,0
499,8672,2023-09-22,Organic,5,384,0
500,3701,2024-05-04,Organic,6,424,1
501,1224,2023-05-02,Organic,7,85,0
502,9239,2024-07-13,Paid,6,659,0
503,3131,2024-11-02,Organic,9,67,0
504,7835,2023-07-05,Email,4,159,0
505,8576,2024-02-03,Email,5,111,0
506,9726,2024-02-23,Email,4,17,0
507,5841,2024-11-21,Organic,4,217,0
508,1004,2023-04-28,Paid,0,241,0
509,1515,2024-05-13,Email,6,48,0
510,8225,2024-07-13,Organic,3,148,0
511,9549,2024-11-06,Email,6,215,0
512,3283,2023-08-04,Email,3,105,0
513,5367,2024-07-13,Email,3,79,0
514,7429,2023-07-08,Social,5,439,0
515,4894,2023-10-24,Paid,7,35,0
516,422,2023-05-01,Social,6,351,0
517,1424,2024-02-28,Social,4,61,0
518,10024,2023-12-30,Paid,8,10,1
519,7953,2024-08-26,Paid,5,460,0
520,5058,2024-01-12,Email,4,739,0
521,4453,2024-05-05,Email,3,165,0
522,7646,2024-10-12,Email,7,86,0
523,5786,2024-08-20,Organic,6,465,0
524,8094,2024-09-14,Paid,6,884,0
525,11991,2024-03-05,Email,3,41,0
526,10379,2023-08-16,Organic,3,121,0
527,8060,2024-09-19,Organic,5,461,0
528,9584,2023-03-30,Organic,3,40,0
529,3539,2023-05-18,Organic,4,632,0
530,5344,2024-10-26,Organic,8,82,0
531,6522,2024-11-28,Organic,1,313,0
532,2130,2023-11-26,Paid,4,88,0
533,7013,2024-03-04,Social,3,6,0
534,881,2024-01-03,Organic,4,132,0
535,2059,2024-04-25,Paid,3,357,0
536,3822,2023-09-14,Social,5,90,0
537,9145,2023-10-05,Organic,3,634,1
538,1612,2023-06-17,Social,6,139,0
539,7280,2023-06-28,Paid,4,229,0
540,10231,2024-02-15,Organic,6,110,1
541,3026,2023-02-28,Organic,8,481,0
542,952,2023-06-21,Paid,5,584,0
543,1545,2023-05-30,Paid,4,6,0
544,9240,2024-01-13,Email,6,403,0
545,6915,2023-03-22,Organic,4,264,0
546,3135,2024-06-21,Organic,3,68,0
547,11427,2023-04-26,Paid,5,421,0
548,6204,2024-02-18,Social,6,717,0
549,8193,2023-08-03,Email,9,374,0
550,5018,2023-12-28,Social,8,273,0
551,3642,2023-07-02,Email,2,76,0
552,3647,2023-09-27,Paid,9,69,0
553,860,2024-02-17,Social,6,10,0
554,1191,2024-06-29,Organic,8,175,0
555,2107,2024-09-20,Organic,3,1,0
556,3678,2023-09-07,Social,4,1154,0
557,8149,2024-11-09,Email,2,9,0
558,8493,2023-02-20,Email,3,783,0
559,2507,2024-04-26,Email,3,12,0
560,11187,2024-06-28,Email,8,171,0
561,10158,2023-07-24,Paid,6,9,0
562,4948,2024-04-15,Paid,7,71,0
563,2784,2023-09-22,Social,11,261,0
564,7888,2023-01-16,Email,3,452,0
565,446,2023-10-03,Social,5,168,0
566,2670,2024-07-19,Email,6,84,0
567,3664,2023-03-28,Email,4,183,0
568,1139,2024-03-22,Social,3,194,0
569,4377,2024-11-17,Email,4,81,1
570,3397,2024-03-08,Organic,5,224,0
571,6302,2023-01-30,Paid,5,235,0
572,8105,2023-09-26,Email,9,8,0
573,100,2024-04-16,Email,4,22,1
574,6916,2023-04-08,Paid,7,82,0
575,8677,2023-09-07,Social,1,317,0
576,9726,2023-04-15,Email,6,254,0
577,8785,2023-04-17,Email,5,355,0
578,3271,2023-02-02,Social,4,239,0
579,1819,2024-05-30,Organic,6,156,0
580,221,2024-04-18,Email,8,274,0
581,1677,2023-01-24,Social,6,80,0
582,1876,2023-04-14,Social,7,104,0
583,1291,2024-07-25,Email,2,523,0
584,11057,2024-08-24,Social,6,216,0
585,290,2024-08-23,Organic,7,32,0
586,3699,2023-11-30,Paid,4,128,0
587,4943,2023-07-03,Organic,6,1,0
588,9242,2024-06-21,Social,4,73,1
589,10932,2023-04-26,Organic,4,638,0
590,1370,2024-01-24,Social,1,225,0
591,9893,2024-10-02,Email,2,330,0
592,3001,2024-06-21,Paid,5,256,0
593,8255,2023-04-18,Social,6,179,0
594,3097,2023-04-08,Paid,1,32,0
595,11087,2024-09-04,Social,1,243,0
596,9023,2023-04-28,Social,5,240,0
597,11324,2023-05-11,Organic,2,368,0
598,1994,2023-12-12,Email,5,35,0
599,2782,2024-06-07,Organic,7,214,0
600,11017,2023-05-25,Paid,2,554,0
601,5994,2024-01-16,Organic,5,549,0
602,5553,2023-02-27,Paid,1,8,0
603,1954,2023-11-06,Email,8,824,0
604,8580,2024-01-21,Social,5,884,0
605,5295,2024-01-01,Paid,9,67,0
606,11895,2023-08-03,Paid,4,136,0
607,11516,2024-05-31,Organic,2,11,0
608,3615,2024-09-21,Organic,6,69,0
609,10675,2023-10-06,Social,4,185,0
610,3102,2024-03-29,Email,7,299,0
611,10303,2023-06-19,Organic,7,1382,0
612,9663,2024-09-17,Email,4,455,0
613,10978,2023-12-24,Email,6,30,1
614,2390,2024-08-02,Organic,5,225,0
615,7631,2024-09-24,Organic,5,3,0
616,4656,2023-05-24,Organic,5,17,0
617,2772,2024-04-06,Organic,5,105,0
618,4716,2024-09-16,Social,8,141,0
619,3756,2024-06-25,Social,3,350,0
620,4338,2023-02-28,Organic,2,748,0
621,11542,2023-05-30,Email,4,238,0
622,1081,2024-09-18,Email,6,67,0
623,6357,2024-06-07,Social,1,152,0
624,11766,2024-04-08,Paid,4,259,0
625,5833,2023-11-03,Email,1,194,0
626,11273,2024-08-16,Social,1,195,0
627,764,2024-01-31,Paid,4,66,0
628,4397,2024-02-03,Paid,7,60,1
629,6016,2023-11-13,Email,7,18,0
630,5233,2023-06-19,Paid,4,357,0
631,11486,2024-04-18,Organic,2,761,0
632,5066,2024-03-10,Social,4,141,0
633,7445,2023-07-11,Paid,8,394,0
634,3891,2024-08-17,Organic,5,158,0
635,6391,2024-04-04,Organic,3,442,0
636,8936,2024-08-09,Paid,6,820,0
637,5037,2024-07-22,Social,8,815,0
638,6170,2024-04-11,Organic,6,347,0
639,3724,2023-03-30,Email,5,81,0
640,1329,2024-04-11,Paid,8,105,0
641,8495,2023-10-13,Paid,8,504,0
642,3594,2024-01-30,Paid,10,9,1
643,9523,2024-11-08,Paid,7,715,0
644,6789,2023-01-14,Paid,7,56,0
645,1313,2024-08-09,Email,7,490,0
646,3974,2023-02-17,Organic,6,195,0
647,6031,2023-03-16,Social,1,45,0
648,6676,2023-08-09,Social,5,34,0
