order_id,customer_id,order_date,order_status,discount_amount,shipping_fee
72,6617,2024-06-15,Completed,-107.73,196.49
73,6987,2024-08-12,Completed,-132.91,127.08
74,2343,2024-04-27,Completed,-84.05,118.27
75,9419,2023-01-23,Completed,138.0,87.46
76,5113,2023-06-14,Completed,676.7,137.68
77,889,2023-05-17,Completed,234.67,83.5
78,2588,2024-03-26,Cancelled,616.44,23.51
79,3874,2024-06-12,Completed,-6.99,63.17
80,2757,2023-05-05,Completed,49.73,87.81
81,7165,2024-10-09,Completed,692.42,83.26
82,5676,2023-10-16,Cancelled,403.75,19.4
83,2305,2024-06-25,Completed,-9.46,178.62
84,10348,2023-09-22,Completed,1.84,197.69
85,6108,2023-08-15,Completed,135.31,155.9
86,692,2024-11-03,Completed,313.85,110.6
87,7122,2024-01-21,Completed,235.65,68.83
88,6970,2024-10-28,Completed,-86.06,158.72
89,6844,2023-05-18,Returned,-54.1,44.53
90,1460,2024-05-20,Completed,550.33,74.73
91,4497,2024-10-11,Completed,582.65,32.62
92,9755,2024-01-29,Completed,421.07,31.99
93,3085,2024-07-17,Completed,438.49,24.15
94,936,2024-07-24,Completed,612.51,142.24
95,5506,2024-08-26,Completed,69.86,30.4
96,1744,2023-02-04,Completed,472.19,133.43
97,827,2023-03-29,Completed,569.18,134.83
98,9940,2023-09-23,Completed,609.39,167.44
99,1901,2024-11-20,Completed,222.21,138.92
100,187,2023-01-27,Completed,471.19,81.85
101,8660,2024-04-29,Completed,444.61,182.67
102,9104,2023-12-15,Completed,467.26,20.17
103,6707,2023-04-20,Completed,414.62,86.11
104,2840,2024-07-18,Completed,249.52,136.24
105,3058,2023-10-31,Completed,-98.54,14.96
106,7337,2024-03-14,Completed,-37.47,83.18
107,7717,2024-03-10,Completed,102.83,43.59
108,8437,2023-03-29,Completed,2.11,51.35
109,2513,2024-01-30,Completed,380.45,81.55
110,8164,2024-01-07,Completed,668.07,61.9
111,6582,2023-12-08,Returned,435.86,96.75
112,5155,2023-07-10,Completed,380.39,149.91
113,5293,2024-02-10,Completed,37.55,52.61
114,4122,2024-06-16,Completed,483.04,20.1
115,1108,2023-11-01,Completed,324.74,58.66
116,8314,2024-08-31,Completed,398.77,98.34
117,6741,2024-06-19,Returned,563.14,83.45
118,9548,2023-02-16,Completed,439.2,198.57
119,1320,2024-02-04,Completed,625.78,61.87
120,5443,2023-05-07,Completed,697.65,125.69
121,7925,2024-06-24,Completed,-48.61,73.85
122,4909,2023-07-26,Completed,678.54,91.75
123,10228,2024-10-04,Completed,251.23,198.16
124,10037,2024-10-02,Completed,0.46,89.28
125,4603,2023-09-25,Completed,58.15,50.09
126,8345,2024-02-05,Returned,408.45,73.99
127,8857,2023-12-06,Returned,222.84,119.13
128,7584,2023-10-30,Returned,389.6,82.02
129,11903,2023-08-14,Completed,172.39,30.92
130,238,2024-01-28,Completed,542.47,61.87
131,1695,2024-07-09,Returned,556.04,115.16
132,3068,2024-01-19,Completed,161.06,8.91
133,6052,2024-07-18,Completed,318.37,163.64
134,7007,2023-08-27,Completed,24.82,139.95
135,8622,2023-11-27,Completed,347.81,190.2
136,9197,2023-04-30,Completed,235.7,144.77
137,10738,2023-02-27,Completed,669.33,152.89
138,1351,2023-11-11,Completed,497.9,91.03
139,6951,2024-09-22,Completed,-56.74,190.77
140,11619,2024-02-12,Completed,149.14,19.29
141,8907,2023-05-08,Completed,420.05,13.28
142,6550,2024-06-29,Completed,372.24,101.68
143,5522,2023-10-14,Completed,306.94,150.59
144,5575,2024-04-23,Completed,506.4,102.84
145,11238,2023-04-11,Completed,382.08,151.54
146,5795,2023-09-10,Completed,119.7,52.54
147,1343,2023-12-21,Completed,119.73,86.77
148,6130,2024-07-21,Completed,45.38,93.22
149,5394,2024-03-24,Completed,174.51,166.21
150,3726,2024-05-06,Completed,589.43,51.3
151,453,2024-05-15,Completed,-68.75,145.62
152,5392,2024-06-15,Completed,410.21,151.42
153,4915,2024-11-13,Completed,54.58,58.98
154,6265,2023-09-20,Completed,349.27,5.0
155,7421,2023-08-18,Completed,636.68,114.15
156,1763,2024-09-25,Completed,347.54,105.26
157,5587,2023-11-18,Completed,455.89,19.39
158,1790,2024-07-11,Completed,549.39,171.47
159,7307,2023-01-06,Completed,285.61,19.56
160,3017,2024-07-10,Returned,562.48,181.72
161,5249,2023-08-04,Returned,636.68,15.69
162,2617,2024-10-29,Returned,262.11,41.21
163,4714,2023-08-22,Completed,263.99,22.12
164,1824,2023-06-07,Completed,-128.52,174.69
165,6032,2023-09-22,Completed,492.99,191.58
166,1666,2023-06-15,Completed,241.58,86.68
167,11343,2024-08-14,Completed,231.95,44.16
168,11094,2024-10-29,Completed,244.49,6.02
169,11766,2024-09-09,Completed,615.78,10.83
170,6938,2024-01-25,Completed,-110.73,104.99
171,4139,2023-07-20,Cancelled,293.07,136.58
172,2896,2023-01-18,Completed,-81.1,104.48
173,8818,2023-07-20,Completed,194.13,78.86
174,7792,2023-09-18,Completed,0.93,160.74
175,8199,2024-01-24,Completed,160.42,89.77
176,7651,2024-04-20,Completed,227.45,105.8
177,2202,2023-04-13,Cancelled,-53.04,114.72
178,4848,2023-01-10,Completed,53.5,184.42
179,11897,2023-08-05,Completed,-100.65,174.95
180,7623,2024-05-03,Completed,49.69,133.7
181,4205,2023-07-16,Completed,621.7,134.39
182,5469,2024-09-13,Completed,138.65,152.78
183,11976,2024-06-26,Completed,607.69,100.85
184,11154,2024-10-12,Completed,509.78,119.18
185,9170,2023-12-29,Completed,7.38,65.76
186,7720,2024-07-07,Completed,653.17,25.3
187,3349,2024-09-09,Completed,564.89,151.5
188,7912,2023-12-25,Completed,613.87,57.75
189,10618,2024-09-06,Completed,583.54,30.16
190,1865,2023-10-04,Completed,67.0,162.89
191,2601,2023-03-02,Completed,-87.92,124.82
192,9846,2023-08-22,Completed,503.16,101.35
193,2064,2024-11-21,Returned,616.16,70.37
194,3222,2024-09-20,Completed,347.96,157.24
195,9433,2024-02-15,Completed,411.43,69.55
196,4956,2023-09-11,Completed,674.05,138.48
197,8909,2023-07-13,Completed,396.92,179.02
198,4423,2023-09-29,Completed,648.44,5.29
199,2435,2024-04-06,Completed,392.57,21.92
200,1961,2023-03-19,Completed,324.23,164.58
201,2330,2024-05-09,Completed,513.75,55.6
202,5714,2023-10-31,Cancelled,668.94,107.46
203,5606,2023-01-27,Cancelled,294.87,118.77
204,3317,2024-02-01,Completed,-79.06,175.8
205,8546,2024-07-25,Completed,66.5,76.82
206,3975,2023-04-09,Returned,-21.26,194.63
207,5698,2024-10-28,Completed,-22.89,66.62
208,6057,2023-07-26,Completed,-33.72,60.55
209,8299,2024-10-28,Completed,529.24,106.83
210,7312,2024-08-29,Completed,275.69,130.73
211,245,2023-11-29,Completed,276.4,125.08
212,1530,2024-01-31,Completed,-109.21,129.2
213,10646,2024-11-10,Completed,58.71,48.5
214,6852,2023-10-26,Completed,635.9,170.55
215,5478,2024-09-23,Completed,-136.55,89.34
216,4720,2023-06-06,Completed,192.24,126.84
217,8826,2024-01-10,Completed,373.7,49.93
218,4001,2023-08-01,Completed,-112.1,175.14
219,6766,2023-10-12,Completed,291.8,93.34
220,877,2023-05-16,Completed,508.81,197.67
221,2195,2023-12-02,Completed,177.1,130.06
222,4632,2023-09-09,Completed,312.81,178.68
223,4186,2023-01-24,Returned,110.78,141.05
224,9559,2023-10-25,Completed,-84.52,13.12
225,11825,2023-03-24,Cancelled,2.2,65.13
226,10151,2023-12-27,Completed,-118.03,12.32
227,7257,2023-07-08,Completed,396.55,151.77
228,2689,2023-01-15,Completed,514.63,46.89
229,2958,2024-03-10,Completed,646.65,37.3
230,6643,2023-08-14,Completed,-113.8,41.44
231,11424,2023-09-12,Returned,346.87,197.45
232,5294,2023-08-18,Returned,-118.71,62.69
233,9069,2024-05-21,Completed,-96.74,190.03
234,1857,2023-03-01,Completed,357.73,191.86
235,2298,2023-11-12,Completed,-130.58,177.7
236,9077,2024-10-26,Completed,345.97,172.6
237,5846,2023-01-21,Completed,476.8,4.35
238,6991,2024-07-28,Completed,75.44,31.89
239,11172,2024-06-26,Completed,468.33,182.93
240,4583,2023-03-06,Returned,304.47,26.86
241,5658,2023-03-07,Completed,221.41,76.74
242,8568,2024-08-09,Completed,380.79,111.37
243,8646,2024-07-14,Completed,174.08,138.75
244,6991,2024-03-10,Completed,153.09,154.22
245,7915,2023-04-07,Completed,-72.75,91.07
246,5735,2023-06-02,Completed,-5.42,157.45
247,2075,2023-06-08,Completed,681.2,94.03
248,9820,2023-11-05,Cancelled,86.39,185.74
249,9767,2024-07-07,Returned,482.52,56.63
250,5902,2024-10-29,Completed,634.31,63.91
251,6694,2023-11-21,Completed,105.1,157.6
252,2954,2023-05-15,Completed,51.93,55.55
253,658,2023-09-24,Returned,-57.27,153.35
254,3800,2024-11-08,Completed,370.21,162.43
255,7383,2023-06-25,Completed,446.63,72.45
256,4647,2023-08-17,Completed,74.3,163.52
257,7694,2024-06-28,Completed,428.4,45.2
258,7202,2023-01-27,Completed,301.98,87.5
259,3330,2023-04-14,Completed,174.78,78.73
260,5384,2023-12-13,Completed,58.82,175.03
261,4882,2023-01-12,Completed,-134.69,180.03
262,2775,2023-07-16,Completed,312.98,180.14
263,11693,2024-06-02,Completed,665.2,89.18
264,4971,2023-10-08,Completed,534.51,18.84
265,8989,2023-12-17,Completed,228.23,134.68
266,9570,2024-11-02,Completed,349.54,33.03
267,6544,2024-08-17,Completed,88.48,105.04
268,9399,2024-08-12,Completed,316.33,177.32
269,7271,2024-02-10,Completed,581.11,71.59
270,11852,2023-02-26,Completed,576.48,144.7
271,11015,2024-03-31,Completed,662.85,95.02
272,10925,2023-08-08,Completed,-3.42,42.94
273,8359,2024-02-29,Completed,25.43,62.5
274,203,2024-07-02,Completed,74.51,55.97
275,2613,2023-04-08,Completed,165.56,28.08
276,11945,2024-05-09,Completed,-80.42,82.55
277,6508,2023-08-05,Completed,236.56,166.93
278,6043,2023-10-21,Completed,284.43,193.01
279,3651,2024-11-25,Completed,539.78,38.73
280,970,2023-03-01,Completed,272.65,163.93
281,7016,2023-01-29,Completed,470.51,111.12
282,3714,2024-08-14,Completed,165.07,169.79
283,11740,2024-03-09,Returned,431.38,138.2
284,11338,2023-11-02,Completed,235.36,55.7
285,3808,2023-08-15,Completed,-26.21,174.46
286,10015,2023-01-14,Completed,290.33,151.78
287,11526,2024-10-11,Completed,-23.87,47.57
288,9435,2023-01-28,Completed,-54.01,70.94
289,11044,2023-01-05,Returned,41.37,78.04
290,4804,2024-03-08,Completed,555.75,119.42
291,7858,2024-11-19,Completed,538.37,70.78
292,1853,2024-02-13,Completed,522.18,179.79
293,4751,2023-10-15,Completed,279.62,95.2
294,9665,2024-04-04,Completed,-94.48,194.37
295,8114,2024-01-07,Completed,646.73,107.29
296,10764,2023-03-28,Completed,-76.91,0.35
297,2884,2023-12-24,Completed,-142.73,53.29
298,7481,2024-04-15,Completed,550.38,166.28
299,4437,2023-07-20,Completed,607.28,106.5
300,11891,2024-10-22,Completed,271.41,108.11
301,10253,2024-07-20,Completed,515.79,77.61
302,10996,2023-07-22,Completed,624.87,31.31
303,6664,2023-09-19,Completed,77.57,181.48
304,5253,2024-04-02,Completed,-92.42,71.69
305,10980,2023-08-11,Completed,264.29,187.75
306,7359,2023-08-24,Completed,295.4,187.93
307,11848,2023-02-07,Completed,-70.53,83.26
308,6744,2023-01-14,Completed,572.53,135.58
309,7236,2023-07-14,Completed,239.94,103.28
310,3796,2024-01-14,Completed,340.45,18.67
311,8456,2023-09-29,Completed,100.54,182.42
312,10504,2024-07-23,Cancelled,59.9,147.66
313,4326,2024-03-28,Completed,581.38,184.66
314,10625,2024-02-08,Completed,681.5,87.06
315,1921,2023-10-16,Returned,-24.95,40.42
316,9281,2023-02-11,Returned,583.74,191.14
317,11323,2023-01-31,Completed,245.88,3.57
318,9115,2024-07-25,Completed,33.79,64.2
319,6150,2023-11-20,Completed,-11.48,127.43
320,3786,2024-03-20,Returned,364.33,101.68
321,4255,2023-09-10,Completed,-125.75,138.2
322,7776,2023-06-20,Completed,-112.45,186.66
323,7381,2024-04-04,Completed,-32.17,3.29
324,6655,2024-01-03,Completed,429.17,180.4
325,3985,2024-09-05,Cancelled,289.19,18.52
326,1360,2023-02-08,Cancelled,463.84,51.23
327,6578,2023-07-12,Cancelled,509.76,63.43
328,1574,2023-01-31,Completed,206.67,159.02
329,573,2024-09-11,Completed,632.22,63.71
330,6888,2023-05-19,Completed,130.81,2.6
331,6903,2023-03-18,Completed,145.99,183.56
332,9748,2024-07-21,Completed,486.11,85.74
333,11171,2023-02-08,Completed,680.48,17.53
334,3847,2023-11-09,Completed,221.18,64.88
335,8021,2024-08-19,Completed,425.04,163.87
336,4138,2024-07-20,Completed,648.65,171.43
337,3370,2024-02-14,Returned,-91.6,9.48
338,354,2024-02-26,Cancelled,529.07,138.42
339,3854,2024-10-09,Completed,328.0,134.52
340,10913,2024-09-09,Completed,-119.68,109.13
341,8390,2023-12-08,Cancelled,139.29,17.5
342,1167,2024-05-08,Completed,70.18,58.36
343,1476,2023-04-25,Completed,-38.21,49.05
344,11665,2023-12-18,Completed,167.25,50.97
345,803,2023-05-27,Completed,673.6,23.88
346,6533,2023-09-01,Completed,9.49,102.58
347,2062,2023-09-07,Completed,-115.5,186.92
348,6063,2024-11-15,Returned,-119.84,163.33
349,6778,2024-04-02,Completed,683.57,98.26
350,4857,2024-01-29,Completed,-19.38,2.04
351,6169,2023-08-02,Completed,663.62,112.74
352,8709,2023-07-03,Completed,204.55,2.1
353,8580,2023-10-04,Cancelled,239.34,137.65
354,8251,2024-05-13,Completed,384.98,160.61
355,11880,2023-06-08,Completed,268.56,47.33
356,6977,2024-02-12,Completed,592.19,81.64
357,266,2024-06-22,Completed,138.51,189.18
358,7716,2024-10-19,Cancelled,330.76,117.82
359,6659,2023-10-12,Completed,611.39,76.59
360,3812,2023-03-08,Completed,413.04,139.49
361,9680,2023-07-23,Completed,445.3,67.41
362,11595,2024-04-21,Completed,697.45,100.29
363,4990,2023-11-28,Completed,113.5,149.88
364,11670,2024-10-26,Returned,512.82,110.92
365,7723,2023-09-26,Completed,-119.77,127.93
366,9628,2023-04-08,Completed,89.89,31.46
367,7588,2023-11-15,Returned,146.7,74.56
368,2562,2023-12-05,Completed,50.14,180.75
369,7585,2024-11-18,Returned,88.88,122.02
370,5407,2024-01-30,Completed,490.82,89.67
371,182,2024-08-26,Completed,-92.47,104.84
372,4140,2024-08-03,Cancelled,657.18,6.78
373,7220,2023-05-03,Cancelled,41.96,16.01
374,11828,2023-04-19,Completed,20.17,85.37
375,8103,2023-02-21,Completed,293.68,6.91
376,10428,2023-05-31,Completed,519.62,131.13
377,2062,2023-03-21,Completed,627.25,26.41
378,3960,2024-07-28,Completed,491.0,4.56
379,7879,2024-09-13,Completed,470.15,167.59
380,4096,2024-07-18,Completed,261.73,43.89
381,3945,2023-12-16,Completed,-27.13,195.34
382,44,2024-06-19,Completed,415.76,35.17
383,7681,2024-11-26,Completed,441.5,107.23
384,3131,2024-02-05,Completed,171.94,109.7
385,1463,2024-11-25,Completed,503.37,105.32
386,1787,2023-06-10,Returned,573.94,30.0
387,3331,2024-04-29,Completed,134.14,172.21
388,3232,2023-12-13,Completed,453.79,42.55
389,6106,2023-08-30,Returned,-109.57,61.69
390,9297,2023-03-11,Completed,316.15,190.96
391,9363,2024-04-18,Completed,187.08,189.66
392,9447,2024-05-13,Completed,39.73,160.73
393,9775,2024-07-05,Completed,255.99,22.0
394,10919,2023-03-23,Completed,360.53,114.3
395,352,2024-10-15,Completed,325.69,136.5
396,9229,2024-10-09,Completed,102.61,173.29
397,11414,2023-08-19,Completed,-51.08,0.82
398,600,2023-01-07,Returned,472.82,101.45
399,5670,2024-11-04,Completed,21.0,154.69
400,7752,2024-09-15,Completed,107.87,139.64
401,8602,2024-04-03,Completed,538.2,167.89
402,9862,2024-08-06,Completed,23.98,10.53
403,7147,2024-05-14,Completed,598.74,162.42
404,10538,2024-04-06,Completed,520.99,167.31
405,2651,2023-09-26,Completed,561.23,14.74
406,1837,2023-06-30,Cancelled,16.29,143.16
407,4288,2024-07-10,Completed,646.89,163.4
408,636,2023-01-23,Completed,241.32,118.86
409,9943,2023-03-04,Completed,-100.6,22.36
410,4100,2023-12-16,Completed,231.56,10.24
411,6674,2024-06-08,Completed,-2.78,115.11
412,9040,2023-07-26,Completed,159.04,18.87
413,2805,2023-02-08,Completed,-14.14,173.64
414,10195,2024-05-10,Completed,172.3,9.2
415,2062,2023-03-06,Completed,99.1,94.55
416,4100,2023-01-25,Completed,53.24,186.41
417,11875,2023-06-28,Completed,487.08,180.57
418,5889,2024-01-15,Completed,312.27,46.58
419,11988,2024-11-10,Completed,21.98,155.93
420,9125,2023-01-24,Completed,213.26,10.33
421,10675,2024-02-21,Returned,162.43,50.45
422,1144,2023-09-17,Returned,590.0,22.39
423,10855,2024-07-30,Completed,494.25,45.73
424,673,2023-06-09,Completed,326.05,60.14
425,9204,2023-09-18,Completed,393.31,35.84
426,10286,2023-07-14,Completed,154.14,89.63
427,5143,2023-04-05,Completed,419.13,10.62
428,7733,2024-04-05,Completed,122.92,5.83
429,5005,2024-01-21,Completed,567.29,158.42
430,3615,2024-05-28,Completed,21.03,58.66
431,7891,2023-10-29,Completed,477.44,60.88
432,5270,2024-03-31,Cancelled,181.66,132.74
433,8816,2024-06-29,Completed,206.6,45.83
434,3975,2024-09-03,Completed,343.04,159.08
435,521,2024-10-24,Completed,113.89,148.8
436,2244,2024-11-23,Completed,526.49,56.46
437,11897,2024-11-09,Returned,515.17,124.37
438,9897,2023-07-12,Completed,547.23,162.72
439,3871,2024-08-04,Completed,433.09,3.67
440,9393,2024-05-07,Completed,692.62,126.75
441,2635,2023-01-05,Returned,662.96,88.7
442,3833,2023-11-06,Completed,15.43,135.74
443,9534,2023-01-06,Completed,390.74,184.63
444,1129,2023-01-02,Cancelled,413.68,112.42
445,3876,2024-04-20,Completed,362.09,163.85
446,6098,2024-01-03,Completed,414.07,95.98
447,2984,2023-01-26,Completed,207.19,80.26
448,8611,2024-03-13,Completed,299.96,179.15
449,10766,2023-02-16,Returned,631.0,99.17
450,2361,2023-11-26,Completed,691.46,170.72
451,3915,2024-09-06,Completed,-53.53,146.59
452,4957,2023-12-02,Completed,458.8,152.74
453,713,2024-02-26,Returned,-74.39,71.33
454,3523,2023-04-10,Returned,127.82,71.77
455,3358,2023-05-06,Completed,194.83,193.95
456,369,2023-01-17,Completed,45.88,114.41
457,6409,2023-06-06,Completed,-12.29,137.4
458,2106,2024-02-06,Completed,555.08,28.73
459,6405,2023-10-16,Completed,-96.44,140.77
460,9327,2023-04-10,Completed,481.59,155.48
461,5331,2023-10-14,Completed,-104.12,8.3
462,2514,2024-06-03,Cancelled,-4.7,65.49
463,6688,2024-11-04,Completed,-115.79,60.1
464,5506,2024-06-07,Completed,172.98,100.19
465,11922,2024-01-18,Completed,197.04,74.02
466,1694,2023-09-20,Completed,24.89,121.36
467,4406,2023-02-14,Completed,444.78,135.68
468,5858,2024-03-26,Completed,-14.31,17.15
469,3487,2023-03-26,Completed,672.47,80.61
470,3748,2023-01-14,Completed,534.94,38.7
471,4766,2024-11-14,Completed,-0.31,146.87
472,6357,2023-01-11,Completed,212.35,146.46
473,2947,2024-08-16,Completed,503.57,86.14
474,2292,2023-11-10,Completed,687.1,49.83
475,11461,2023-06-04,Completed,579.24,122.34
476,4474,2023-01-19,Completed,682.84,124.79
477,11187,2023-10-17,Completed,690.95,23.87
478,2680,2024-07-22,Completed,90.22,81.54
479,8856,2023-08-12,Completed,203.98,117.47
480,3080,2024-01-17,Completed,636.57,138.14
481,9204,2023-10-15,Completed,-92.27,51.6
482,10224,2023-05-09,Completed,544.8,129.99
483,9564,2023-08-14,Completed,374.16,98.64
484,4398,2023-01-30,Completed,237.43,78.15
485,3281,2024-07-11,Completed,498.1,190.57
486,4640,2023-10-24,Completed,667.45,171.88
487,7344,2023-04-03,Cancelled,309.22,10.52
488,6774,2024-01-12,Completed,206.0,163.9
489,6833,2023-02-08,Cancelled,665.43,50.17
490,2966,2023-12-09,Completed,-11.14,118.15
491,11983,2024-08-11,Completed,-140.35,71.54
492,5571,2023-11-25,Completed,483.49,34.33
493,7532,2023-06-15,Completed,603.22,53.06
494,5414,2023-09-29,Completed,200.7,190.25
495,3912,2024-04-23,Completed,-47.87,41.64
496,1232,2024-01-25,Completed,506.99,193.36
497,3328,2024-08-31,Returned,638.24,27.05
498,9618,2024-04-26,Completed,429.63,70.01
499,2501,2023-03-03,Completed,130.88,144.23
500,1545,2024-05-19,Completed,609.84,49.58
501,2464,2023-09-25,Completed,486.1,127.39
502,8124,2023-01-28,Completed,184.43,110.7
503,2957,2024-04-24,Completed,35.39,9.94
504,11597,2023-11-20,Completed,350.13,60.63
505,6111,2023-11-21,Completed,-102.26,70.92
506,4204,2024-05-05,Completed,174.45,122.35
507,1919,2024-03-21,Completed,257.25,54.99
508,9771,2024-04-20,Completed,-89.81,36.44
509,10985,2024-09-25,Completed,-144.91,9.78
510,724,2023-11-18,Completed,282.13,189.44
511,7924,2023-11-02,Cancelled,240.49,93.7
512,2201,2023-01-01,Returned,233.35,178.32
513,8884,2023-04-23,Returned,663.36,131.46
514,3032,2023-09-17,Completed,54.21,79.49
515,10116,2024-04-12,Completed,-29.31,94.75
516,5315,2024-10-24,Completed,-40.52,27.06
517,10720,2024-03-28,Completed,-126.29,120.6
518,8959,2023-07-04,Completed,76.82,34.71
519,11145,2023-12-04,Completed,267.74,17.93
520,4485,2023-07-17,Completed,530.06,70.84
521,616,2023-12-06,Completed,661.36,77.23
522,10050,2023-12-24,Completed,353.39,59.17
523,1480,2023-05-16,Completed,455.33,187.82
524,7250,2024-05-25,Completed,179.32,53.56
525,4339,2024-11-21,Cancelled,-106.9,102.72
526,7725,2023-07-20,Completed,567.66,122.82
527,9773,2023-12-21,Cancelled,-54.78,38.34
528,3685,2023-05-05,Completed,-102.92,58.64
529,10675,2023-07-30,Cancelled,276.2,55.26
530,11557,2023-07-14,Returned,175.73,147.98
531,3003,2024-11-08,Completed,-79.98,38.8
532,2659,2023-01-07,Completed,-47.25,133.47
533,1156,2023-09-01,Completed,505.92,100.64
534,731,2024-05-20,Completed,49.26,139.71
535,6600,2024-02-27,Completed,267.85,196.65
536,125,2023-02-22,Completed,610.1,98.42
537,1598,2023-06-24,Completed,531.77,158.51
538,2845,2023-10-12,Completed,698.98,39.45
539,467,2023-11-23,Completed,126.18,59.2
540,7972,2024-04-13,Completed,99.86,137.13
541,5806,2023-09-14,Completed,-117.15,198.38
542,3695,2023-01-10,Cancelled,636.3,176.6
543,875,2024-01-16,Completed,453.13,31.07
544,8217,2023-09-02,Completed,545.57,123.75
545,4569,2023-03-24,Completed,624.11,164.71
546,4969,2023-02-02,Completed,303.53,82.6
547,11096,2023-06-17,Completed,417.0,77.83
548,9703,2023-08-13,Cancelled,302.15,58.48
549,10830,2023-01-02,Completed,54.7,197.64
550,4319,2023-01-10,Completed,690.25,100.63
551,6431,2023-05-15,Completed,377.94,63.15
552,5922,2023-05-25,Completed,-21.69,127.84
553,2117,2024-07-04,Returned,646.48,150.75
554,11008,2024-04-27,Completed,-43.94,10.32
555,8655,2023-01-02,Completed,92.7,135.13
556,4221,2024-04-16,Completed,481.91,160.97
557,3679,2023-09-18,Completed,642.4,142.23
558,3975,2023-08-11,Completed,549.8,118.38
559,5811,2024-03-22,Completed,164.76,44.4
560,5908,2024-10-21,Completed,159.47,167.48
561,1982,2023-07-15,Completed,332.03,145.68
562,10906,2024-04-08,Completed,-4.93,85.56
563,9918,2023-10-19,Completed,-124.99,72.14
564,41,2023-05-04,Completed,269.64,97.13
565,10242,2023-08-04,Completed,463.98,128.31
566,9422,2024-01-29,Completed,205.97,167.72
567,746,2023-02-27,Completed,115.97,146.23
568,4777,2024-08-14,Completed,442.04,49.4
569,2848,2024-11-30,Completed,563.63,197.29
570,11919,2023-11-12,Completed,-139.28,140.77
571,2041,2024-07-12,Returned,655.29,197.3
572,11237,2023-03-25,Completed,-137.67,89.89
573,11318,2023-05-11,Completed,683.57,123.2
574,4342,2023-07-25,Completed,563.59,88.64
